Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Vietnam,VNM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.243459145,1.308649995,1.286729974,1.279754303,1.256073677,1.238513833,1.367367869,1.266183495,1.415740207,1.518740041,1.528050919,,,,,,,,,
Vietnam,VNM,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,9.080188679,3.63372093,10.15887515,0.611408323,0,0,0,0,0,0,0,0.699745547,2.398523985,29.29326018,,,,,,,,0.025713367,0.111697213,2.311030243,6.715688624,66.8543381,64.43196537,66.26711106,65.65376326,68.86834582,48.00096172,19.39770667,19.82465521,10.47146902,9.36004199,9.223380438,9.352354942,5.586987479,0.025357302,1.031463693,0.634923339,2.864736785,1.35247464,0.941155929,1.188331162,1.986346479,1.893078634,1.911204245,2.43235753,4.882852868,0,0,2.36E-05,-4.62E-05,0.000304794,0.000310776,0.000107481,0.000125795,0.000168319,,
Vietnam,VNM,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.22547277,30.76324281,28.36282506,25.31252692,26.74155934,25.37698649,22.87328958,20.68511697,20.22710562,19.28547621,19.50529612,20.02846891,21.00204568,19.25823415,18.59173137,17.05458459,14.44992014,14.81396476,,12.87182294,12.10789665,10.62900569,9.406919928,
Vietnam,VNM,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,0.083472454,0.909450376,0.586149259,0.544383791,,,,,,,,,0.601195255,,,,,,,,,0.005833512,3.036614345,0.328908176,,,,,,,7.04E-05,0.089614541,,0.03058139,0.001356036,0.032122919,0.073097478,0.059367846,0.049152037,0.156224371,0.260266715,0.138734764,0.15243906,0.197936449,0.167663447,0.142269946,0.208281829,0.083168558,0.218552419,0.120945606,0.126720087,0.004060565,,,,0.02648964,0.029681735,0.032574527,0.004613917,,
Vietnam,VNM,"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.27,,,,,28.01,,11.23,13.43,11.73,11.57,11.76,11.61,11.4,4.97,11.08,6.39,,4.09,5.79,6.36,7.4,7.08,7.07,13.03,,
Vietnam,VNM,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.52,,,,,16.29,,16.63,15.59,13.28,13.26,13.49,12.43,11.7,6.84,6.82,6.59,,5.3,5.23,5.14,5.28,5.43,5.59,6.85,,
Vietnam,VNM,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.977541523,5.600948867,6.280206428,6.343765303,6.869264164,5.63917866,4.851897808,5.583648067,5.3977407,5.510240198,5.079058167,4.597144931,4.242007999,4.495427885,3.895893317,3.899608298,,
Vietnam,VNM,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,96,,,,,,
Vietnam,VNM,"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,0.929693682,0.951358594,0.972859354,0.994698711,1.017318956,1.041067646,1.066510148,1.091874773,1.116949943,1.140490884,1.162289406,1.146371623,1.125186087,1.106063811,1.096903362,1.100317974,1.141343259,1.190826485,1.239577707,1.275123015,1.29271179,1.288186668,1.269625302,1.249553077,1.242135796,1.252647844,1.267408687,1.294692347,1.325674789,1.348745104,1.359292922,1.349899435,1.331402767,1.314492831,1.312166587,1.329817014,1.349993479,1.386837576,1.431397432,1.470996087,1.499610969,1.513134334,1.514241511,1.515016629,1.530765205,1.567189664,1.600190361,1.6509411,1.705534016,1.743756319,1.755636295,1.725881717,1.679377869,1.626117086,1.577815042,1.540251537,1.498037147,1.465696617,1.44491722,1.437029882,
Vietnam,VNM,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,4.147264883,4.097842377,4.095055294,4.112444742,4.112456304,4.075883575,4.001992052,3.899150447,3.791524978,3.711197108,3.673112995,3.660418819,3.683786274,3.724353711,3.754149189,3.757995184,3.732102327,3.681483809,3.62429001,3.586813547,3.581258669,3.598337937,3.643681587,3.692044427,3.706776045,3.668392378,3.579132969,3.45009121,3.300260912,3.156370003,3.034584658,2.932910837,2.853897729,2.797032734,2.760054139,2.74287156,2.740039874,2.759248323,2.811160699,2.910849517,3.065007873,3.283908477,3.550871163,3.848627867,4.151588911,4.44010319,4.693172139,4.937557761,5.168194734,5.37676952,5.556382583,5.682948916,5.781853721,5.856871093,5.914802156,5.960029876,5.987685839,6.002470742,6.01434093,6.036047128,
